2026-02-16 12:15:46 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-16 12:15:46 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-16 12:15:46 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-16 12:15:47 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-16 12:15:56 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-16 12:15:56 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-16 12:15:56 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-16 12:44:40 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-16 12:44:40 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-16 12:44:40 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-16 12:44:40 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-16 12:45:01 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-16 12:45:01 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-16 12:45:02 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-16 12:55:36 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-16 12:55:36 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-16 12:55:36 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-16 12:55:37 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-16 12:55:45 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-16 12:55:45 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-16 13:07:35 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-16 13:07:36 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-16 13:07:36 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-16 13:07:36 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-16 13:08:48 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-16 13:08:48 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-16 13:08:48 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-16 13:09:15 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-16 13:09:15 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-16 13:09:15 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-16 13:53:43 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-16 13:53:44 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-16 13:53:44 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-16 13:53:44 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-16 13:53:47 | app.views.inventario_view | INFO     | Mostrando productos de categoría: CHARCUTERIA
2026-02-16 13:53:47 | app.views.inventario_view | INFO     | Cargando productos para categoría: CHARCUTERIA
2026-02-16 13:53:47 | app.views.inventario_view | INFO     | Se cargaron 1 productos
2026-02-16 13:53:48 | app.views.inventario_view | INFO     | Abriendo diálogo para entrada de JAMON
2026-02-16 13:53:56 | app.views.inventario_view | INFO     | Abriendo diálogo para entrada de JAMON
2026-02-16 13:53:59 | app.views.inventario_view | INFO     | Abriendo diálogo para entrada de JAMON
2026-02-16 13:54:12 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-16 13:54:12 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-16 13:54:12 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-16 14:00:39 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-16 14:00:40 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-16 14:00:40 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-16 14:00:40 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-16 14:00:42 | app.views.inventario_view | INFO     | Mostrando productos de categoría: CHARCUTERIA
2026-02-16 14:00:42 | app.views.inventario_view | INFO     | Cargando productos para categoría: CHARCUTERIA
2026-02-16 14:00:43 | app.views.inventario_view | INFO     | Se cargaron 1 productos
2026-02-16 14:03:40 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-16 14:03:40 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-16 14:03:40 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-16 14:03:41 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-16 14:03:49 | app.views.inventario_view | INFO     | Mostrando productos de categoría: CHARCUTERIA
2026-02-16 14:03:49 | app.views.inventario_view | INFO     | Cargando productos para categoría: CHARCUTERIA
2026-02-16 14:03:49 | app.views.inventario_view | INFO     | Se cargaron 1 productos
2026-02-16 14:03:51 | app.views.inventario_view | INFO     | Abriendo diálogo para entrada de JAMON
2026-02-16 14:04:04 | app.views.inventario_view | INFO     | Abriendo diálogo para entrada de JAMON
2026-02-16 14:05:52 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-16 14:05:53 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-16 14:05:53 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-16 14:05:53 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-16 14:06:08 | app.views.inventario_view | INFO     | Mostrando productos de categoría: CHARCUTERIA
2026-02-16 14:06:08 | app.views.inventario_view | INFO     | Cargando productos para categoría: CHARCUTERIA
2026-02-16 14:06:08 | app.views.inventario_view | INFO     | Se cargaron 1 productos
2026-02-16 14:06:09 | app.views.inventario_view | INFO     | Diálogo enviado al overlay de la página
2026-02-16 14:09:29 | app.views.inventario_view | DEBUG    | UI construida correctamente
2026-02-16 14:09:30 | app.views.inventario_view | INFO     | InventarioView montada
2026-02-16 14:09:30 | app.views.inventario_view | INFO     | Cargando categorías...
2026-02-16 14:09:30 | app.views.inventario_view | INFO     | Se cargaron 1 categorías
2026-02-16 14:09:37 | app.views.inventario_view | INFO     | Mostrando productos de categoría: CHARCUTERIA
